Dado A,Dado B,Dado C,tipo do dado
Dra. Mirella Oliveira,Android 5.1.1,Árbitro e mediador,0
Srta. Luana Pires,Android 4.2,Bibliotecário,0
Carlos Eduardo Rocha,Android 3.2.6,Faxineiro,0
Dr. Samuel Correia,Android 3.0,Cameraman,0
Henrique da Conceição,4164054071673066,(051) 1272-5209,1
Valentina Peixoto,2229658350926917,+55 (081) 1648 7956,1
Juliana Novaes,Android 2.2,Jornaleiro,0
Sr. Diego das Neves,Android 6.0,Ajudante de produção,0
Luiz Otávio Castro,4602699673399392298,+55 84 4127-5102,1
Luiz Felipe Barbosa,38368115982099,51 4097 4645,1
Isaac Pinto,Android 3.2.3,Taxista,0
João Felipe Teixeira,213197613891651,+55 21 9953 5740,1
Benício da Mota,3590463004607529,+55 (041) 6960 7624,1
Bianca Ramos,36299137339830,(051) 8848-5376,1
Alícia Pinto,Android 3.2.6,Diarista,0
Felipe Duarte,Android 2.3.5,Saxofonista,0
Enrico Vieira,4399122980245540750,71 1672-3721,1
João Rezende,3577693596301035,+55 21 2988-1954,1
Benjamin Lopes,345147384761766,0300 308 8409,1
Fernanda Aragão,Android 4.3.1,Profissional de marketing,0
Rodrigo Cardoso,502067100920,(061) 5687-3778,1
Davi Luiz Castro,Android 3.2,Meredeira,0
Samuel da Luz,4093245751555006935,+55 (084) 7950-9681,1
Pietro Souza,2238793357640846,41 4041-0626,1
Alice Lopes,213115813731774,11 1753 8769,1
Felipe da Conceição,Android 4.2.1,Caixa,0
Mariane da Mota,4192456146865986609,+55 (051) 0989-1941,1
Sophie Mendes,4687549239081222418,+55 (051) 5523-4229,1
Maria Clara Correia,3509619822904238,0800 329 1303,1
Gabriela Nunes,Android 5.1.1,Apontador de mão-de-obra,0
Cauê Rocha,Android 8.1.0,Maquiador,0
