Dado A,Dado B,Dado C,tipo do dado
Sophia Cardoso,3594737459632942,(081) 1055-2744,1
Luana Gomes,Android 4.0.4,Aeromoça,0
Natália Freitas,4681155643205115,(061) 0260 6763,1
Miguel das Neves,Android 2.3.2,Headhunter,0
Emilly Fernandes,Android 4.2.2,Auxiliar administrativo,0
Bernardo Ramos,Android 7.1,Espeleologista,0
Srta. Clarice Jesus,639069850670,+55 (011) 0067-9232,1
Yago Santos,3506203858627915,+55 11 0187 7079,1
Sr. Leandro da Cunha,4078599126754,+55 (051) 7331-6234,1
Kevin Duarte,Android 3.2.6,Engenheiro mecatrônico,0
Milena Melo,3559092618188789,(061) 4584-9125,1
Ana Martins,2557833141105897,+55 (041) 0722 9606,1
Eduardo Oliveira,Android 2.3.7,Encarregado de manutenção predial,0
Srta. Isis Silva,36465567099240,+55 (051) 6941-5449,1
Letícia Alves,Android 2.3.7,Cinegrafista,0
Caio Jesus,4957273013155863178,(021) 8908-0692,1
Sr. Lorenzo Farias,4344275042586949065,(084) 5576-2941,1
Juliana Barbosa,3510003892569600,+55 41 7265-1080,1
Thomas Silva,4357380648927100418,84 0386 6404,1
Marina Fogaça,2581426742086549,(071) 9146 2465,1
Dra. Evelyn Pires,Android 3.2.6,Programador,0
Murilo Rodrigues,4526785699290777093,+55 (041) 6324-9759,1
Isabella Lopes,4210518421580175,+55 21 6139-4439,1
Stella Rezende,4587419505146,61 3435 0143,1
Srta. Isabel Peixoto,3548015154521059,(061) 0558 6470,1
Raquel Porto,639009030441,+55 (084) 4282-2285,1
Larissa Cunha,Android 2.3.4,Pedreiro,0
Heloísa das Neves,6011188207019826,0800-448-8676,1
Srta. Laís da Rosa,Android 2.3.7,Clap loader,0
Srta. Olivia da Costa,4774318709256,0800-090-6546,1
Clarice Vieira,Android 4.4,Contatólogo,0
Alexia Dias,568643409382,+55 (071) 7466-8880,1
Ana Vitória Fernandes,Android 3.2.1,Astrônomo,0
Sr. Antônio Souza,30419828941613,+55 (061) 6105-9229,1
Mirella Fogaça,4874518042767608111,84 7939 5051,1
