Dado A,Dado B,Dado C,tipo do dado
Vitor da Conceição,4757115797085639049,+55 84 9683-1492,1
Bruna Rezende,Android 3.2.6,Geofísico,0
Evelyn Santos,Android 8.0.0,Dedetizador,0
Natália da Luz,Android 4.0.2,Flautista,0
Cauã Melo,180037743621405,+55 (031) 0810-4531,1
Isadora da Luz,180079104419714,(011) 0074 5446,1
Heloísa Cardoso,6011956032051325,+55 41 6415 8518,1
João Vitor da Conceição,Android 5.0.2,Profissional de educação física,0
Lorena das Neves,Android 4.2.2,Regente,0
Bernardo Barbosa,Android 2.2.2,Designer de jóia,0
João Gabriel Martins,Android 1.0,Torneiro mecânico,0
Caroline da Conceição,585208228619,+55 51 9407 4223,1
Kaique Silveira,6511433685629133,(084) 7239-1631,1
Agatha da Paz,342328724719978,+55 (084) 3629-7995,1
Alexandre Cardoso,Android 2.3.4,Windsurfer,0
Emilly Cardoso,Android 4.0.2,Investigador particular,0
Cauã Aragão,Android 4.2,Funileiro,0
Alexandre Correia,4836963317184283048,41 0792-3619,1
Ana Carolina Cunha,Android 3.2.1,Optometrista,0
Giovanna Campos,Android 5.0.1,Nadador,0
Marcela Souza,345024892875570,(081) 0047 7768,1
Letícia Mendes,Android 11,Astrofísico,0
Emanuelly Nunes,2373673353081465,+55 (061) 9602 8963,1
Sr. Bruno Cunha,503848002823,+55 (084) 1684-6433,1
Heitor Silva,630455049860,(071) 8006 7855,1
Matheus Farias,213118634292786,+55 (081) 9451 9090,1
Marcela Cardoso,370338053388597,31 0091-9037,1
